======================================================================
PHASE 6: COMPREHENSIVE SCENARIO GENERATOR (S1-S6)
Per experiment-design.md §2.4 (revised 2026-06-16)
======================================================================

--- S1: N=20, Sentinel-1, 693km, bilateral ---
  [S4] S4-E_seed06.pkl: 500/500 visible, 851 windows, 40.8s
  [S4] S4-E_seed07.pkl: 500/500 visible, 847 windows, 33.4s
  [S4] S4-E_seed08.pkl: 499/500 visible, 807 windows, 41.7s
  [S4] S4-E_seed09.pkl: 500/500 visible, 842 windows, 39.3s
  [S4] Generated 50 new scenarios


--- S5: ψ_sq Sensitivity, N=20, Sentinel-1, 693km, bilateral ---
  [S5] S5-A_seed00.pkl: 20/20 visible, 91 windows, 1.4s
  [S5] S5-A_seed01.pkl: 20/20 visible, 89 windows, 1.3s
  [S5] S5-A_seed02.pkl: 20/20 visible, 94 windows, 1.5s
  [S5] S5-A_seed03.pkl: 20/20 visible, 89 windows, 2.2s
  [S5] S5-A_seed04.pkl: 20/20 visible, 80 windows, 1.9s
  [S5] S5-A_seed05.pkl: 20/20 visible, 90 windows, 1.7s
  [S5] S5-A_seed06.pkl: 20/20 visible, 92 windows, 1.4s
  [S5] S5-A_seed07.pkl: 20/20 visible, 84 windows, 1.5s
  [S5] S5-A_seed08.pkl: 20/20 visible, 99 windows, 1.3s
  [S5] S5-A_seed09.pkl: 20/20 visible, 91 windows, 1.3s
  [S5] S5-B_seed00.pkl: 20/20 visible, 95 windows, 1.3s
  [S5] S5-B_seed01.pkl: 20/20 visible, 86 windows, 1.2s
  [S5] S5-B_seed02.pkl: 20/20 visible, 94 windows, 1.3s
  [S5] S5-B_seed03.pkl: 20/20 visible, 91 windows, 1.5s
  [S5] S5-B_seed04.pkl: 20/20 visible, 86 windows, 2.0s
  [S5] S5-B_seed05.pkl: 20/20 visible, 91 windows, 1.7s
  [S5] S5-B_seed06.pkl: 20/20 visible, 91 windows, 1.3s
  [S5] S5-B_seed07.pkl: 20/20 visible, 87 windows, 1.4s
  [S5] S5-B_seed08.pkl: 20/20 visible, 93 windows, 1.4s
  [S5] S5-B_seed09.pkl: 20/20 visible, 92 windows, 1.5s
  [S5] S5-C_seed00.pkl: 20/20 visible, 91 windows, 1.2s
  [S5] S5-C_seed01.pkl: 20/20 visible, 81 windows, 1.4s
  [S5] S5-C_seed02.pkl: 20/20 visible, 93 windows, 1.3s
  [S5] S5-C_seed03.pkl: 20/20 visible, 88 windows, 1.3s
  [S5] S5-C_seed04.pkl: 20/20 visible, 82 windows, 1.3s
  [S5] S5-C_seed05.pkl: 20/20 visible, 88 windows, 1.2s
  [S5] S5-C_seed06.pkl: 20/20 visible, 90 windows, 1.3s
  [S5] S5-C_seed07.pkl: 20/20 visible, 85 windows, 1.6s
  [S5] S5-C_seed08.pkl: 20/20 visible, 89 windows, 1.7s
  [S5] S5-C_seed09.pkl: 20/20 visible, 93 windows, 1.7s
  [S5] S5-D_seed00.pkl: 20/20 visible, 83 windows, 2.2s
  [S5] S5-D_seed01.pkl: 20/20 visible, 82 windows, 1.9s
  [S5] S5-D_seed02.pkl: 20/20 visible, 85 windows, 1.7s
  [S5] S5-D_seed03.pkl: 20/20 visible, 83 windows, 1.4s
  [S5] S5-D_seed04.pkl: 20/20 visible, 79 windows, 1.4s
